timestamp,source,match_id,home_team,away_team,home_win,draw,away_win,home_or_draw,away_or_draw,home_or_away,over_1_5,under_1_5,over_2_5,under_2_5,over_3_5,under_3_5,both_teams_score_yes,both_teams_score_no
2025-06-15T21:12:47.818697,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.5,3.75,1.21,1.77,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:12:58.203699,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.5,3.75,1.21,1.77,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:13:08.542106,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.8,1.9,2.9,1.36,1.67,2.05
2025-06-15T21:13:18.928620,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.8,1.9,2.9,1.36,1.67,2.05
2025-06-15T21:13:29.351420,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.8,1.9,2.9,1.36,1.67,2.05
2025-06-15T21:13:39.753632,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.8,1.9,2.9,1.36,1.67,2.05
2025-06-15T21:13:50.093732,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.5,3.75,1.23,1.77,1.26,,,1.8,1.9,3.0,1.33,1.67,2.05
2025-06-15T21:14:00.485826,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.5,3.4,1.25,1.69,1.24,,,1.8,1.9,2.9,1.36,1.65,2.1
2025-06-15T21:14:10.892253,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.5,3.4,1.25,1.69,1.24,,,1.8,1.9,2.9,1.36,1.65,2.1
2025-06-15T21:14:21.299820,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.5,3.4,1.25,1.69,1.24,,,1.8,1.9,2.9,1.36,1.65,2.1
2025-06-15T21:14:31.688691,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.5,3.4,1.25,1.69,1.24,,,1.8,1.9,2.9,1.36,1.65,2.1
2025-06-15T21:14:42.098355,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.5,3.4,1.25,1.69,1.24,,,1.8,1.9,2.9,1.36,1.65,2.1
2025-06-15T21:14:52.546263,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.05,3.4,3.4,1.26,1.67,1.26,,,1.8,1.9,2.9,1.36,1.65,2.05
2025-06-15T21:15:02.972924,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.5,3.75,1.23,1.77,1.26,,,1.85,1.85,3.0,1.33,1.65,2.05
2025-06-15T21:15:13.950563,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.5,3.75,1.23,1.77,1.26,,,1.85,1.85,3.0,1.33,1.65,2.05
2025-06-15T21:15:24.355377,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.5,3.75,1.23,1.77,1.26,,,1.85,1.85,3.0,1.33,1.65,2.05
2025-06-15T21:15:34.823027,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.5,3.75,1.23,1.77,1.26,,,1.85,1.85,3.0,1.33,1.65,2.05
2025-06-15T21:15:45.690377,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.5,3.75,1.23,1.77,1.26,,,1.85,1.85,3.0,1.33,1.65,2.05
